LA_Name,t,MEMS_actual,MEMS_bayesian,period
Barking and Dagenham,0,522.8653846153846,,train
Barking and Dagenham,1,551.5454545454545,,train
Barking and Dagenham,2,665.6515957446809,,train
Barking and Dagenham,3,573.7381198347107,,train
Barking and Dagenham,4,515.2174796747968,,train
Barking and Dagenham,5,542.2986607142857,,train
Barking and Dagenham,6,594.3194444444445,,train
Barking and Dagenham,7,,566.5215331654852,forecast
Barking and Dagenham,8,,566.5220543292223,forecast
Barking and Dagenham,9,,566.5225754929594,forecast
Barking and Dagenham,10,,566.5230966566966,forecast
Barnet,0,581.5048701298701,,train
Barnet,1,558.5287199124726,,train
Barnet,2,674.9046184738955,,train
Barnet,3,557.967415730337,,train
Barnet,4,574.4867424242424,,train
Barnet,5,694.2371134020618,,train
Barnet,6,677.8570057581574,,train
Barnet,7,,660.4255705319423,forecast
Barnet,8,,671.2645886709622,forecast
Barnet,9,,682.1036068099821,forecast
Barnet,10,,692.942624949002,forecast
Bexley,0,489.7203947368421,,train
Bexley,1,661.9888996138997,,train
Bexley,2,666.4,,train
Bexley,3,654.3854581673306,,train
Bexley,4,569.3171106557377,,train
Bexley,5,664.6141414141414,,train
Bexley,6,617.6539215686274,,train
Bexley,7,,617.7426103272986,forecast
Bexley,8,,617.7468369749598,forecast
Bexley,9,,617.7510636226209,forecast
Bexley,10,,617.7552902702821,forecast
Brent,0,443.8659420289855,,train
Brent,1,619.1467391304348,,train
Brent,2,679.1186868686868,,train
Brent,3,647.3019750519751,,train
Brent,4,582.7805656934306,,train
Brent,5,608.6364077669903,,train
Brent,6,667.380626223092,,train
Brent,7,,653.5072315591357,forecast
Brent,8,,665.1615057787913,forecast
Brent,9,,676.8157799984468,forecast
Brent,10,,688.4700542181024,forecast
Bromley,0,793.3125,,train
Bromley,1,729.6849315068494,,train
Bromley,2,704.3674496644295,,train
Bromley,3,728.398,,train
Bromley,4,740.3395061728395,,train
Bromley,5,691.7422199170124,,train
Bromley,6,720.2045009784736,,train
Bromley,7,,702.804532092306,forecast
Bromley,8,,696.0753398211109,forecast
Bromley,9,,689.3461475499158,forecast
Bromley,10,,682.6169552787208,forecast
Camden,0,596.9294871794872,,train
Camden,1,708.3698559670781,,train
Camden,2,745.2844311377246,,train
Camden,3,770.7325949367089,,train
Camden,4,678.1995412844037,,train
Camden,5,736.0433194154489,,train
Camden,6,809.7699203187251,,train
Camden,7,,794.8541009122783,forecast
Camden,8,,813.3772993460773,forecast
Camden,9,,831.9004977798763,forecast
